leaid,zip,state,county_fips,lat,lon
0800023,80903,CO,08041,38.827383,-104.527472
0800220,80817,CO,08041,38.827383,-104.527472
0800221,81003,CO,08101,38.170658,-104.489892
0800222,80401,CO,08059,39.58646,-105.245601
0800223,80911,CO,08041,38.827383,-104.527472
0800224,80120,CO,08005,39.644632,-104.331733
0800225,80920,CO,08041,38.827383,-104.527472
0800226,80634,CO,08123,40.555794,-104.383649
0800227,80303,CO,08013,40.094826,-105.398382
0800228,80236,CO,08031,39.761849,-104.880625
0800229,80731,CO,08095,40.594712,-102.345105
0800230,80906,CO,08041,38.827383,-104.527472
0800231,80132,CO,08041,38.827383,-104.527472
0800232,80236,CO,08031,39.761849,-104.880625
0800233,81212,CO,08043,38.455658,-105.421438
0800234,80828,CO,08073,38.99374,-103.507555
0800235,80751,CO,08075,40.728091,-103.090464
0800236,80906,CO,08041,38.827383,-104.527472
0800237,80601,CO,08001,39.874325,-104.331872
0800238,80452,CO,08019,39.689403,-105.670791
0800239,81416,CO,08029,38.861756,-107.864757
0800240,81230,CO,08051,38.669679,-107.078108
0800241,81007,CO,08101,38.170658,-104.489892
0800242,80908,CO,08041,38.827383,-104.527472
0800243,80701,CO,08087,40.262353,-103.807092
0800245,80203,CO,08031,39.761849,-104.880625
0800246,81505,CO,08077,39.019492,-108.461837
0800247,80111,CO,08005,39.644632,-104.331733
0800248,80477,CO,08107,40.48316,-106.985288
0800249,80521,CO,08069,40.663091,-105.482131
0800250,80550,CO,08123,40.555794,-104.383649
0800251,80537,CO,08069,40.663091,-105.482131
0800253,81301,CO,08067,37.287367,-107.839718
0800254,81625,CO,08081,40.573984,-108.204521
0800255,80011,CO,08005,39.644632,-104.331733
0800256,81052,CO,08099,37.958181,-102.392161
0800257,80030,CO,08001,39.874325,-104.331872
0800258,80229,CO,08001,39.874325,-104.331872
0800259,81003,CO,08101,38.170658,-104.489892
0800260,80104,CO,08035,39.326435,-104.926199
0800261,81101,CO,08003,37.568442,-105.788041
0800262,81432,CO,08091,38.1506,-107.767133
0800263,80501,CO,08013,40.094826,-105.398382
0800264,80906,CO,08041,38.827383,-104.527472
0800265,80643,CO,08123,40.555794,-104.383649
0800266,80203,CO,08031,39.761849,-104.880625
0800267,80517,CO,08069,40.663091,-105.482131
0800268,80241,CO,08001,39.874325,-104.331872
0800269,81401,CO,08085,38.413427,-108.263042
0800270,80631,CO,08123,40.555794,-104.383649
0800271,81050,CO,08089,37.88417,-103.72126
0800272,80022,CO,08001,39.874325,-104.331872
0800273,80110,CO,08005,39.644632,-104.331733
0800274,81623,CO,08045,39.599352,-107.90978
0800275,80866,CO,,,
0800276,80915,CO,08041,38.827383,-104.527472
0800277,81648,CO,08103,39.972606,-108.200685
0800278,81006,CO,08101,38.170658,-104.489892
0800279,80903,CO,08041,38.827383,-104.527472
0800280,80903,CO,08041,38.827383,-104.527472
